scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
base,421001,Burrendong Dam to Baroona,CF,,1,17,0,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,26.0,26,0,0,1825
base,421001,Burrendong Dam to Baroona,LF1,,2,33,75,4,0.6666666666666666,4,8,0.6666666666666666,1.3333333333333333,10.625,85,2,0,1825
base,421001,Burrendong Dam to Baroona,LF2,,1,17,40,1,0.16666666666666666,1,2,0.16666666666666666,0.3333333333333333,18.5,37,4,0,1825
base,421001,Burrendong Dam to Baroona,OB/WS3,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
base,421001,Burrendong Dam to Baroona,SF1,,5,83,1000,16,2.6666666666666665,16,32,2.6666666666666665,5.333333333333333,31.34375,1003,1,0,1825
base,421001,Burrendong Dam to Baroona,SF2,,5,83,75,11,1.8333333333333333,11,26,1.8333333333333333,4.333333333333333,28.807692307692307,749,2,0,1825
base,421004,Baroona to Warren Weir,BF1_a,,2,33,50,2,0.3333333333333333,2,47,0.3333333333333333,7.833333333333333,24.80851063829787,1166,0.10137,0,1825
base,421004,Baroona to Warren Weir,BF1_b,,4,67,100,4,0.6666666666666666,4,47,0.6666666666666666,7.833333333333333,24.80851063829787,1166,0.10137,0,1825
base,421004,Baroona to Warren Weir,BF2_a,,1,17,50,1,0.16666666666666666,1,35,0.16666666666666666,5.833333333333333,22.142857142857142,775,2,0,1825
base,421004,Baroona to Warren Weir,BF2_b,,3,50,75,3,0.5,3,35,0.5,5.833333333333333,22.142857142857142,775,2,0,1825
base,421004,Baroona to Warren Weir,CF,,1,17,0,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,109.0,109,0,0,1825
base,421004,Baroona to Warren Weir,LF1,,2,33,75,5,0.8333333333333334,5,7,0.8333333333333334,1.1666666666666667,15.714285714285714,110,2,0,1825
base,421004,Baroona to Warren Weir,LF2,,1,17,40,1,0.16666666666666666,1,3,0.16666666666666666,0.5,17.333333333333332,52,4,0,1825
base,421004,Baroona to Warren Weir,OB/WL,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,10,0,1825
base,421004,Baroona to Warren Weir,OB/WM,,0,0,50,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
base,421004,Baroona to Warren Weir,OB/WS3,,1,17,25,1,0.16666666666666666,1,3,0.16666666666666666,0.5,8.0,24,5,0,1825
base,421004,Baroona to Warren Weir,SF1,,4,67,1000,13,2.1666666666666665,13,37,2.1666666666666665,6.166666666666667,20.0,740,1,0,1825
base,421004,Baroona to Warren Weir,SF2,,4,67,75,10,1.6666666666666667,10,36,1.6666666666666667,6.0,13.805555555555555,497,2,0,1825
base,421011,Marthaguy Creek,BF1_a,,1,17,50,1,0.16666666666666666,1,13,0.16666666666666666,2.1666666666666665,28.153846153846153,366,1.167123,0,1825
base,421011,Marthaguy Creek,BF1_b,,6,100,96,13,2.1666666666666665,13,13,2.1666666666666665,2.1666666666666665,28.153846153846153,366,1.167123,0,1825
base,421011,Marthaguy Creek,BF2_a,,1,17,50,1,0.16666666666666666,1,8,0.16666666666666666,1.3333333333333333,25.375,203,2,0,1825
base,421011,Marthaguy Creek,BF2_b,,2,33,75,2,0.3333333333333333,2,8,0.3333333333333333,1.3333333333333333,25.375,203,2,0,1825
base,421011,Marthaguy Creek,CF_a,,6,100,0,9,1.5,9,10,1.5,1.6666666666666667,119.7,1197,0,0,1825
base,421011,Marthaguy Creek,CF_b,,1,17,5,1,0.16666666666666666,1,10,0.16666666666666666,1.6666666666666667,119.7,1197,0,0,1825
base,421011,Marthaguy Creek,CF_c,,6,100,97,10,1.6666666666666667,10,10,1.6666666666666667,1.6666666666666667,119.7,1197,0,0,1825
base,421011,Marthaguy Creek,LF1,,2,33,75,4,0.6666666666666666,4,6,0.6666666666666666,1.0,24.166666666666668,145,2,0,1825
base,421011,Marthaguy Creek,LF2,,1,17,40,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,54.0,54,4,0,1825
base,421011,Marthaguy Creek,OB/WS3,,2,33,25,2,0.3333333333333333,2,4,0.3333333333333333,0.6666666666666666,15.5,62,5,0,1825
base,421011,Marthaguy Creek,OB/WS4,,2,33,65,2,0.3333333333333333,2,4,0.3333333333333333,0.6666666666666666,15.5,62,5,0,1825
base,421011,Marthaguy Creek,SF1,,3,50,1000,5,0.8333333333333334,5,12,0.8333333333333334,2.0,27.25,327,1,0,1825
base,421011,Marthaguy Creek,SF2,,1,17,75,1,0.16666666666666666,1,7,0.16666666666666666,1.1666666666666667,15.428571428571429,108,2,0,1825
base,421011,Marthaguy Creek,SF3,,1,17,50,1,0.16666666666666666,1,12,0.16666666666666666,2.0,27.25,327,4,0,1825
