scenarioPath,scenario,gauge,planningUnit,ewrCode,multigauge,eventYears,frequency,targetFrequency,achievementCount,achievementPerYear,eventCount,eventCountAll,eventsPerYear,eventsPerYearAll,averageEventLength,thresholdDays,maxInterEventYears,noDataDays,totalDays
hydrographs\down4\down4,down4,421011,Marthaguy Creek,BF1_b,,5,83,96,14,2.3333333333333335,14,14,2.3333333333333335,2.3333333333333335,22.142857142857142,310,1.167123,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,BF2_a,,1,17,50,1,0.16666666666666666,1,6,0.16666666666666666,1.0,29.5,177,2,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,BF2_b,,2,33,75,3,0.5,3,6,0.5,1.0,29.5,177,2,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,CF_a,,6,100,0,9,1.5,9,10,1.5,1.6666666666666667,119.7,1197,0,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,CF_b,,1,17,5,1,0.16666666666666666,1,10,0.16666666666666666,1.6666666666666667,119.7,1197,0,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,CF_c,,6,100,97,10,1.6666666666666667,10,10,1.6666666666666667,1.6666666666666667,119.7,1197,0,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,LF1,,2,33,75,3,0.5,3,4,0.5,0.6666666666666666,16.75,67,2,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,LF2,,1,17,40,1,0.16666666666666666,1,1,0.16666666666666666,0.16666666666666666,29.0,29,4,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,OB/WS3,,0,0,25,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,OB/WS4,,0,0,65,0,0.0,0,0,0.0,0.0,0.0,0,5,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,SF1,,2,33,1000,4,0.6666666666666666,4,8,0.6666666666666666,1.3333333333333333,23.375,187,1,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,SF2,,1,17,75,1,0.16666666666666666,1,3,0.16666666666666666,0.5,14.333333333333334,43,2,0,1825
hydrographs\down4\down4,down4,421011,Marthaguy Creek,SF3,,1,17,50,2,0.3333333333333333,2,8,0.3333333333333333,1.3333333333333333,23.375,187,4,0,1825
