scenarioPath,scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,multigauge
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2014,2015-03-09,2015-03-10,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2014,2015-03-12,2015-03-26,15,15,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2014,2015-03-28,2015-03-31,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2015-09-01,2015-09-12,12,12,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2015-09-18,2015-10-12,25,25,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2015-11-04,2015-11-11,8,8,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2015-11-30,2015-12-09,10,10,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2015-12-11,2016-01-13,34,34,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2016-01-16,2016-02-04,20,20,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2016-02-15,2016-02-21,7,7,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2016-02-24,2016-02-26,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2016-02-29,2016-03-01,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2015,2016-03-12,2016-03-25,14,14,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2016,2016-09-01,2017-02-22,175,175,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2016,2017-02-24,2017-02-26,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2016,2017-03-02,2017-03-02,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2016,2017-03-04,2017-03-07,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2016,2017-03-10,2017-03-12,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2016,2017-03-14,2017-03-31,18,18,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2017,2017-09-01,2017-11-11,72,72,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2017,2017-11-18,2017-12-22,35,35,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2017,2017-12-24,2018-03-01,68,68,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2017,2018-03-08,2018-03-12,5,5,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2018,2018-09-01,2019-01-29,151,151,
