,NodeType,Env_obj,Env_obj_main,Target,Env_obj_number,Objective,Target.species,PU,link
159,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Murray.11,1
160,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Murray.12,1
161,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Murray.13,1
162,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Menindee.Lakes.14,1
163,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Menindee.Lakes.15,1
164,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Darling.River...Darling.Anabranch.16,1
165,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Darling.River...Darling.Anabranch.17,1
166,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Darling.River...Darling.Anabranch.18,1
167,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Lower.Darling.River...Darling.Anabranch.19,1
168,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..20,0
169,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..21,1
170,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..22,0
171,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..23,1
172,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..24,0
173,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..25,0
174,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..26,0
175,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..27,1
176,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..28,1
177,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..29,0
178,Environmental objective,NF2,NF,Native fish,2,Increase the distribution & abundance of short to moderate-lived generalist native fish species,dwarf flat-headed gudgeon,Upper.Murray..Murray.source.to.Hume.dam..30,0
